,Boost class num,boost test err,boost train err
47,47,"0.27641384698599675,0.2834905943866819,0.2763387222789831,0.27920848608690424,0.27193641444798367,0.27103491796381995,0.26356752208666384,0.26430374421539754,0.2727928361079392,0.260292084860869","0.253,0.261,0.234,0.272,0.25,0.244,0.239,0.251,0.247,0.248"
49,49,"0.2704038704249053,0.27330368411563194,0.2743854798966284,0.260126810505439,0.2703738205420999,0.2671134082577078,0.2821233247190336,0.27014844642105895,0.27086964360838994,0.27898311196586334","0.269,0.228,0.244,0.233,0.246,0.253,0.257,0.248,0.239,0.274"
51,51,"0.2687811767534107,0.2726125368111064,0.27635374722038586,0.2833253200312519,0.2720866638620109,0.277285293587355,0.2660165875353086,0.272417212572871,0.2813420277660917,0.27046397019051627","0.23,0.264,0.265,0.243,0.25,0.271,0.247,0.283,0.248,0.25"
53,53,"0.2726275617525092,0.27692469499368955,0.2770148446421059,0.27883286255183604,0.27304826011178557,0.2574223210529479,0.2654907145862131,0.27229701304164916,0.2670983833163051,0.2645441432778412","0.23,0.266,0.248,0.285,0.266,0.251,0.225,0.243,0.234,0.253"
55,55,"0.26552076446901857,0.26277120019231925,0.27420518059979565,0.26959252358915803,0.2697127231203798,0.26041228439209085,0.260292084860869,0.27252238716269006,0.2671735080233187,0.27046397019051627","0.231,0.259,0.254,0.234,0.242,0.251,0.243,0.264,0.263,0.278"
57,57,"0.26373279644209385,0.27050904501472445,0.2840164673357774,0.28599975960093754,0.2742202055411984,0.26308672396177657,0.25925536390408077,0.2743103551896148,0.2687511268706052,0.2693070497025062","0.252,0.264,0.261,0.276,0.239,0.239,0.234,0.246,0.268,0.224"
59,59,"0.26525031552376943,0.275572450267444,0.2750015024941403,0.2689464511088407,0.26718853296472145,0.2617645291183364,0.2581134683574734,0.27450567942785026,0.278171765130116,0.27092974337400083","0.273,0.267,0.253,0.235,0.263,0.234,0.243,0.246,0.263,0.239"
61,61,"0.2525842899212693,0.27820181501292146,0.27599314862672036,0.29369252959913456,0.27546727567762486,0.2807109802271771,0.27107999278802813,0.26921690005408977,0.2686008774565779,0.2709898431396118","0.259,0.264,0.27,0.272,0.262,0.275,0.271,0.24,0.254,0.243"
63,63,"0.2695023739407416,0.2657010637658513,0.2654606647034077,0.27953903479776426,0.27219183845183004,0.26334214796562294,0.2736943325921029,0.26132880581765733,0.26815012921449605,0.27784121641925597","0.235,0.249,0.238,0.261,0.27,0.237,0.264,0.241,0.265,0.247"
65,65,"0.28852394975659595,0.2663922110703768,0.2750015024941403,0.27524190155658396,0.2613738806418655,0.2734990083538674,0.2819730753050063,0.28224352425025545,0.27082456878418176,0.272582486928301","0.266,0.24,0.249,0.247,0.237,0.235,0.289,0.274,0.27,0.249"
67,67,"0.2680599795660797,0.26849570286675883,0.2770298695835086,0.2693370995853116,0.267654306148206,0.27166596550273453,0.28093635434821806,0.27327363423282647,0.2836708936835146,0.2787577378448224","0.238,0.247,0.235,0.27,0.252,0.252,0.263,0.253,0.213,0.255"
69,69,"0.26703828355069414,0.2672937075545405,0.257858044353627,0.27199651421359455,0.26425866939118936,0.2610433319310055,0.25671614880701965,0.265385539996394,0.2729731354047719,0.27860748843079514","0.247,0.23,0.225,0.259,0.221,0.249,0.244,0.254,0.262,0.266"
