,Boost class num,boost test err,boost train err
47,47,"0.2691718252298816,0.2635374722038584,0.2610733818138109,0.2527645892181021,0.26111845663801914,0.26188472864955825,0.2680149047418715,0.2604723841577018,0.2616894044113228,0.25339563675701665","0.235,0.245,0.262,0.231,0.266,0.267,0.246,0.246,0.237,0.231"
49,49,"0.2660616623595168,0.2600667107398281,0.2540116593545285,0.2648446421058958,0.2630416491375684,0.26848067792535607,0.2560700763267023,0.254372257948194,0.2615842298215037,0.2674439569685678","0.236,0.241,0.237,0.245,0.217,0.256,0.248,0.244,0.227,0.244"
51,51,"0.25913516437285894,0.25898491495883164,0.26439389386381396,0.26182462888394736,0.26186970370815554,0.2555442033776068,0.258744515896388,0.2637778712663021,0.2645441432778412,0.25787306929502973","0.266,0.234,0.246,0.226,0.26,0.274,0.233,0.259,0.232,0.235"
53,53,"0.2590600396658453,0.26129875593485186,0.2531402127531703,0.2621702025362101,0.2575725704669752,0.2591652142556644,0.26077288298575635,0.25981128673598175,0.26598653765250313,0.25860929142376343","0.226,0.266,0.239,0.245,0.227,0.257,0.219,0.237,0.264,0.237"
55,55,"0.2518931426167438,0.256641024100006,0.2558447022056614,0.25524370454955225,0.260292084860869,0.25686639822104695,0.25898491495883164,0.2531402127531703,0.2623204519502374,0.25408678406154217","0.217,0.242,0.23,0.253,0.256,0.239,0.243,0.245,0.236,0.218"
57,57,"0.257692769998197,0.25435723300679125,0.25246409039004747,0.2549582306629004,0.25597992667828595,0.253651060760863,0.2711100426708336,0.260292084860869,0.2579481940020434,0.2584740669511389","0.229,0.239,0.225,0.259,0.252,0.234,0.239,0.261,0.259,0.216"
59,59,"0.253876434881904,0.24932387763687722,0.2635975719694693,0.2742202055411984,0.2562203257407296,0.2586844161307771,0.2552737544323577,0.2584740669511389,0.2591802391970671,0.2518029929683274","0.245,0.242,0.259,0.238,0.25,0.245,0.243,0.224,0.229,0.257"
61,61,"0.25120199531221826,0.2560851012681051,0.25060099765610916,0.2525842899212693,0.2559048019712723,0.27253741210409277,0.2568213233968388,0.25800829376765433,0.2594807380251217,0.2671735080233187","0.228,0.251,0.24,0.233,0.235,0.234,0.241,0.242,0.249,0.263"
63,63,"0.25305006310475386,0.257527495642767,0.2628613498407356,0.25345573652262754,0.25341066169841936,0.25824869283009794,0.25271951439389384,0.25470280665905404,0.25730212152172605,0.25339563675701665","0.206,0.21,0.231,0.227,0.215,0.248,0.235,0.215,0.244,0.238"
65,65,"0.2531702626359757,0.25655087445158964,0.2541018090029449,0.2595859126149408,0.25591982691267506,0.2565959492757978,0.25507843019412224,0.2532754372257948,0.2514574193160647,0.25558927820181504","0.207,0.226,0.243,0.218,0.238,0.227,0.208,0.217,0.197,0.242"
67,67,"0.26534046517218585,0.2507362221287337,0.2523589158002284,0.25653584951018693,0.24759600937556345,0.261569204880101,0.25912013943145623,0.25934551355249713,0.25229881603461746,0.25689644810385237","0.254,0.237,0.227,0.236,0.252,0.239,0.23,0.235,0.238,0.214"
69,69,"0.264724442574674,0.2542670833583749,0.24950417693370996,0.2635975719694693,0.2462137147665124,0.24622873970791515,0.25707674740068515,0.24601839052827695,0.25524370454955225,0.25972113708756533","0.249,0.206,0.21,0.229,0.214,0.215,0.245,0.225,0.243,0.212"
71,71,"0.2529599134563375,0.2562503756235351,0.2722218883346355,0.26388304585612116,0.2516978183785083,0.2553488791393714,0.2540116593545285,0.2572119718733097,0.26093815734118636,0.25229881603461746","0.235,0.226,0.232,0.235,0.218,0.241,0.217,0.232,0.22,0.229"
73,73,"0.24984975058597272,0.24060941162329466,0.2582637177715007,0.2566259991586033,0.253485786405433,0.25234389085882564,0.2518480677925356,0.25223871626900657,0.25186309273393837,0.2547478814832622","0.222,0.249,0.245,0.24,0.212,0.247,0.214,0.247,0.24,0.234"
75,75,"0.25344071158122483,0.24392992367329766,0.2515325440230783,0.2620049281807801,0.2604723841577018,0.254206983592764,0.24540236793076506,0.2576777450567943,0.25596490173688324,0.24704008654366247","0.244,0.213,0.223,0.242,0.234,0.269,0.245,0.217,0.237,0.206"
77,77,"0.25833884247851435,0.24690486207103793,0.2551235050183304,0.2573772462287397,0.2609081074583809,0.2531101628703648,0.2549432057214977,0.25488310595588676,0.25076627201153917,0.24783640843800708","0.25,0.243,0.223,0.227,0.228,0.252,0.209,0.235,0.238,0.226"
79,79,"0.2443055472083659,0.2540266842959312,0.2548380311316786,0.25160766873009194,0.24770118396538254,0.25244906544864476,0.25066109742172005,0.25013522447262454,0.25650579962738146,0.25174289320271653","0.235,0.232,0.232,0.23,0.211,0.247,0.211,0.258,0.241,0.229"
81,81,"0.25455255724502673,0.2526143398040748,0.2443656469739768,0.2562654005649378,0.2558597271470641,0.2563856000961596,0.24938397740248813,0.2570466975178797,0.25076627201153917,0.25428210829977765","0.224,0.221,0.233,0.218,0.23,0.245,0.204,0.238,0.217,0.233"
83,83,"0.24711521125067612,0.26111845663801914,0.2497295510547509,0.2511118456638019,0.26020193521245266,0.2461536150009015,0.24755093455135524,0.24418534767714406,0.26403329527014846,0.2516226936714947","0.218,0.22,0.219,0.222,0.226,0.215,0.232,0.211,0.226,0.231"
85,85,"0.2507963218943446,0.2534707614640303,0.24933890257827995,0.24861770539094896,0.25003004988280547,0.2529599134563375,0.24735561031311978,0.24885810445339263,0.2512771200192319,0.2527946391009075","0.235,0.226,0.211,0.226,0.2,0.228,0.212,0.208,0.207,0.215"
87,87,"0.24729551054750887,0.25635555021335416,0.25034557365226273,0.2425626540056494,0.257196946931907,0.2536360358194603,0.2529298635735321,0.26259090089548653,0.2496844762305427,0.25362101087805755","0.223,0.248,0.217,0.208,0.215,0.199,0.201,0.225,0.214,0.219"
89,89,"0.25924033896267806,0.2469950117194543,0.2481519322074644,0.24996995011719456,0.246514213594567,0.24924875292986357,0.24813690726606166,0.25381633511629303,0.2545976320692349,0.25709177234208785","0.213,0.23,0.221,0.228,0.232,0.204,0.228,0.233,0.233,0.208"
91,91,"0.25860929142376343,0.25428210829977765,0.24966945128913998,0.2523739407416311,0.25850411683394436,0.2516226936714947,0.24106015986537652,0.2471452611334816,0.2531702626359757,0.2543872828895967","0.234,0.221,0.218,0.24,0.232,0.229,0.196,0.228,0.226,0.227"
93,93,"0.256971572810866,0.25393653464751487,0.2555141534948014,0.25139731955045375,0.2528998136907266,0.2507061722459282,0.244575996153615,0.25665604904140876,0.24423042250135224,0.24956427669932088","0.234,0.215,0.221,0.225,0.227,0.218,0.21,0.223,0.205,0.215"
95,95,"0.26161427970430917,0.2552136546667468,0.24616863994230423,0.24609351523529058,0.2514874691988701,0.2521936414447984,0.24281807800949576,0.24839233126990803,0.2515175190816756,0.25652082456878417","0.247,0.217,0.224,0.232,0.217,0.248,0.209,0.235,0.228,0.228"
97,97,"0.25,0.25341066169841936,0.2484223811527135,0.2528998136907266,0.24696496183664884,0.24669451289139974,0.25016527435543,0.24902337880882264,0.25175791814411924,0.2443055472083659","0.234,0.205,0.214,0.224,0.249,0.223,0.207,0.241,0.232,0.233"
99,99,"0.24304345213053669,0.2370935753350562,0.24927880281266904,0.2490985035158363,0.241255484103612,0.24459102109501774,0.24525211851673778,0.2504206983592764,0.24194663140813752,0.2383105955886772","0.218,0.216,0.221,0.213,0.213,0.235,0.234,0.232,0.215,0.238"
