,Boost class num,boost test err,boost train err
1,1,0.347026564096,0.3342
6,6,0.322221888335,0.3052
11,11,0.315381032514,0.3014
16,16,0.300604002644,0.291
21,21,0.302938878538,0.2878
26,26,0.275649077469,0.2581
31,31,0.280547208366,0.2499
36,36,0.296840254823,0.277
41,41,0.291964661338,0.2706
46,46,0.276206502795,0.2623
51,51,0.286019292025,0.2614
56,56,0.285544503876,0.2574
61,61,0.294918564818,0.2692
66,66,0.28806418655,0.2742
71,71,0.324107518481,0.3044
76,76,0.283699441072,0.2677
81,81,0.304222008534,0.2759
86,86,0.295611214616,0.2718
91,91,0.294807380251,0.2713
96,96,0.285699260773,0.2608
101,101,0.317550634053,0.2897
106,106,0.289054330188,0.259
111,111,0.334440170683,0.3147
116,116,0.280488611094,0.2625
121,121,0.352312338482,0.3229
126,126,0.293450628043,0.2726
131,131,0.327624857263,0.3032
136,136,0.287009435663,0.2602
141,141,0.330891279524,0.3019
146,146,0.311312278382,0.2798
151,151,0.306725163772,0.2852
156,156,0.323263116774,0.2899
161,161,0.344162810265,0.3143
166,166,0.344663140814,0.3271
171,171,0.363653164253,0.3332
176,176,0.312149167618,0.2826
181,181,0.306104633692,0.285
186,186,0.359564877697,0.3311
191,191,0.289043812729,0.2618
196,196,0.33639491556,0.3085
201,201,0.32364625278,0.2937
206,206,0.313245988341,0.287
211,211,0.321419556464,0.2852
216,216,0.294200372619,0.265
221,221,0.335087745658,0.3057
226,226,0.337024460605,0.3149
231,231,0.343193701545,0.3213
236,236,0.360960694753,0.3304
241,241,0.290947472805,0.2652
246,246,0.333215637959,0.3107
251,251,0.334934491255,0.3042
256,256,0.290562834305,0.2631
261,261,0.298557605625,0.2769
266,266,0.323084319971,0.2962
271,271,0.311961355851,0.2876
276,276,0.296807199952,0.2607
281,281,0.352016347136,0.3299
286,286,0.329729851554,0.303
291,291,0.356296952942,0.3313
296,296,0.348544083178,0.3192
