,Boost class num,Tree Depth,boost test err,boost train err,tree test err,tree train err
1,1,1.0,0.113466217481,0.111666666667,0.113466217481,0.111666666667
2,2,2.0,0.114355231144,0.105333333333,0.108412876661,0.0983333333333
3,3,3.0,0.0830525921767,0.0816666666667,0.104388920082,0.099
4,4,4.0,0.0424854950402,0.0426666666667,0.101300767359,0.105
5,5,4.66666666667,0.0500187160771,0.0516666666667,0.0672842972113,0.0673333333333
6,6,4.66666666667,0.0431873479319,0.0363333333333,0.00346247426539,0.0
7,7,5.0,0.0374321542205,0.0346666666667,0.00145049597604,0.0
8,8,4.66666666667,0.0509077297398,0.0506666666667,0.00304136253041,0.0
9,9,4.66666666667,0.0393973423171,0.0366666666667,0.00168444693992,0.0
10,10,5.33333333333,0.0369174620999,0.033,0.00636346621748,0.0
11,11,5.33333333333,0.0418772225342,0.035,0.00280741156654,0.0
12,12,5.66666666667,0.044825004679,0.034,0.00276062137376,0.0
13,13,5.66666666667,0.0379936365338,0.032,0.00294778214486,0.0
14,14,5.66666666667,0.0383211678832,0.0376666666667,0.00243309002433,0.0
15,15,5.33333333333,0.0309751076174,0.0246666666667,0.00215234886768,0.0
