,Boost class num,boost test err,boost train err
45,45,"0.00673778775968557,0.0021055586749017404,0.0011229646266142617,0.0011229646266142617,0.0019651880965749578,0.0022459292532285235,0.0021055586749017404,0.005614823133071308,0.0011229646266142617,0.006035934868051656","0.0,0.001,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.001"
47,47,"0.0051937113980909605,0.0009825940482874789,0.0021055586749017404,0.003368893879842785,0.0029477821448624366,0.0021055586749017404,0.0011229646266142617,0.003790005614823133,0.0022459292532285235,0.0011229646266142617","0.003,0.001,0.001,0.004,0.001,0.001,0.0,0.001,0.0,0.0"
49,49,"0.0009825940482874789,0.0021055586749017404,0.0026670409882088714,0.0022459292532285235,0.002807411566535654,0.0009825940482874789,0.0036496350364963502,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617","0.001,0.001,0.001,0.0,0.002,0.001,0.002,0.0,0.0,0.0"
51,51,"0.004491858506457047,0.0018248175182481751,0.0021055586749017404,0.0022459292532285235,0.0021055586749017404,0.003368893879842785,0.0051937113980909605,0.0021055586749017404,0.0011229646266142617,0.00673778775968557","0.0,0.001,0.001,0.0,0.001,0.0,0.003,0.001,0.0,0.002"
53,53,"0.0018248175182481751,0.0011229646266142617,0.0011229646266142617,0.00673778775968557,0.0039303761931499155,0.0022459292532285235,0.0022459292532285235,0.004351487928130264,0.0032285233015160023,0.0019651880965749578","0.001,0.0,0.0,0.0,0.004,0.0,0.0,0.001,0.001,0.002"
55,55,"0.003790005614823133,0.0009825940482874789,0.0016844469399213925,0.0022459292532285235,0.0016844469399213925,0.0021055586749017404,0.0022459292532285235,0.0022459292532285235,0.002807411566535654,0.0021055586749017404","0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.001"
57,57,"0.0009825940482874789,0.0011229646266142617,0.0011229646266142617,0.00673778775968557,0.0011229646266142617,0.0022459292532285235,0.0022459292532285235,0.004070746771476699,0.0007018528916339135,0.0072992700729927005","0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.002"
59,59,"0.0008422234699606962,0.0009825940482874789,0.0007018528916339135,0.0011229646266142617,0.0022459292532285235,0.0019651880965749578,0.0016844469399213925,0.0022459292532285235,0.004491858506457047,0.0011229646266142617","0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
61,61,"0.0016844469399213925,0.0011229646266142617,0.003368893879842785,0.0016844469399213925,0.0009825940482874789,0.0018248175182481751,0.0016844469399213925,0.0009825940482874789,0.004491858506457047,0.004491858506457047","0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0"
63,63,"0.003368893879842785,0.0005614823133071309,0.0011229646266142617,0.0039303761931499155,0.0,0.0011229646266142617,0.0021055586749017404,0.0022459292532285235,0.0021055586749017404,0.0009825940482874789","0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001"
65,65,"0.0005614823133071309,0.0011229646266142617,0.0009825940482874789,0.0039303761931499155,0.0011229646266142617,0.003368893879842785,0.0039303761931499155,0.0022459292532285235,0.0021055586749017404,0.0012633352049410444","0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001"
67,67,"0.0016844469399213925,0.0,0.0,0.0012633352049410444,0.0009825940482874789,0.0,0.0011229646266142617,0.0016844469399213925,0.0008422234699606962,0.0015440763615946099","0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0"
69,69,"0.0007018528916339135,0.0015440763615946099,0.0016844469399213925,0.005895564289724873,0.0011229646266142617,0.0029477821448624366,0.0030881527231892197,0.0011229646266142617,0.004912970241437394,0.0009825940482874789","0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001"
71,71,"0.0009825940482874789,0.0026670409882088714,0.0008422234699606962,0.004491858506457047,0.0018248175182481751,0.0016844469399213925,0.0,0.0005614823133071309,0.0009825940482874789,0.0011229646266142617","0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0"
73,73,"0.006457046603032005,0.0022459292532285235,0.0018248175182481751,0.0009825940482874789,0.0005614823133071309,0.0005614823133071309,0.0016844469399213925,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0"
75,75,"0.0011229646266142617,0.0,0.0016844469399213925,0.0004211117349803481,0.004491858506457047,0.0011229646266142617,0.0022459292532285235,0.0008422234699606962,0.0009825940482874789,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
77,77,"0.0009825940482874789,0.0030881527231892197,0.003368893879842785,0.0021055586749017404,0.0019651880965749578,0.0011229646266142617,0.0039303761931499155,0.0018248175182481751,0.0015440763615946099,0.0","0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0"
79,79,"0.0008422234699606962,0.0011229646266142617,0.0011229646266142617,0.0016844469399213925,0.0,0.0,0.0,0.0022459292532285235,0.0022459292532285235,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
81,81,"0.0011229646266142617,0.0008422234699606962,0.004491858506457047,0.004211117349803481,0.0005614823133071309,0.0026670409882088714,0.0009825940482874789,0.004491858506457047,0.0005614823133071309,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0"
83,83,"0.0,0.0018248175182481751,0.003368893879842785,0.0016844469399213925,0.0011229646266142617,0.0011229646266142617,0.0022459292532285235,0.002807411566535654,0.0016844469399213925,0.0016844469399213925","0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
85,85,"0.0011229646266142617,0.0011229646266142617,0.0005614823133071309,0.002807411566535654,0.0008422234699606962,0.003368893879842785,0.0022459292532285235,0.0008422234699606962,0.0009825940482874789,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0"
87,87,"0.0005614823133071309,0.0008422234699606962,0.0011229646266142617,0.0009825940482874789,0.0011229646266142617,0.0011229646266142617,0.0008422234699606962,0.0005614823133071309,0.0022459292532285235,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
89,89,"0.0025266704098820887,0.005614823133071308,0.003368893879842785,0.0011229646266142617,0.0,0.0016844469399213925,0.0,0.0016844469399213925,0.00028074115665356543,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
91,91,"0.003368893879842785,0.0009825940482874789,0.0008422234699606962,0.0022459292532285235,0.0018248175182481751,0.0030881527231892197,0.0005614823133071309,0.0022459292532285235,0.003368893879842785,0.0005614823133071309","0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
93,93,"0.0,0.0022459292532285235,0.0022459292532285235,0.0011229646266142617,0.0008422234699606962,0.0016844469399213925,0.0022459292532285235,0.0022459292532285235,0.0022459292532285235,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
95,95,"0.0022459292532285235,0.0011229646266142617,0.0022459292532285235,0.0005614823133071309,0.0008422234699606962,0.003368893879842785,0.00028074115665356543,0.0,0.003368893879842785,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
97,97,"0.0012633352049410444,0.0030881527231892197,0.0011229646266142617,0.0005614823133071309,0.0022459292532285235,0.0008422234699606962,0.0022459292532285235,0.0011229646266142617,0.0004211117349803481,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
99,99,"0.0022459292532285235,0.0008422234699606962,0.0022459292532285235,0.0,0.0022459292532285235,0.0011229646266142617,0.0005614823133071309,0.0005614823133071309,0.003368893879842785,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
