,Boost class num,boost test err,boost train err
71,71,"0.0011229646266142617,0.0,0.001403705783267827,0.0,0.0,0.0022459292532285235,0.0011229646266142617,0.0011229646266142617,0.0018248175182481751,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0"
73,73,"0.0022459292532285235,0.0011229646266142617,0.0009825940482874789,0.0005614823133071309,0.0029477821448624366,0.0022459292532285235,0.0005614823133071309,0.0011229646266142617,0.0008422234699606962,0.0022459292532285235","0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.002,0.0"
75,75,"0.0015440763615946099,0.0,0.0022459292532285235,0.004351487928130264,0.0011229646266142617,0.0005614823133071309,0.0022459292532285235,0.003368893879842785,0.0022459292532285235,0.0009825940482874789","0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0"
77,77,"0.0009825940482874789,0.0004211117349803481,0.0022459292532285235,0.0016844469399213925,0.0016844469399213925,0.0009825940482874789,0.0,0.0005614823133071309,0.0008422234699606962,0.0","0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0"
79,79,"0.002807411566535654,0.0,0.0011229646266142617,0.004491858506457047,0.0009825940482874789,0.0022459292532285235,0.005614823133071308,0.0005614823133071309,0.0004211117349803481,0.0011229646266142617","0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0"
81,81,"0.0008422234699606962,0.0022459292532285235,0.0011229646266142617,0.0022459292532285235,0.0008422234699606962,0.0004211117349803481,0.0,0.0008422234699606962,0.0022459292532285235,0.0016844469399213925","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
83,83,"0.0011229646266142617,0.0009825940482874789,0.0016844469399213925,0.0009825940482874789,0.0011229646266142617,0.004491858506457047,0.0016844469399213925,0.0016844469399213925,0.0022459292532285235,0.004491858506457047","0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0"
85,85,"0.0016844469399213925,0.0008422234699606962,0.0005614823133071309,0.0011229646266142617,0.0008422234699606962,0.0005614823133071309,0.00028074115665356543,0.0,0.0,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
87,87,"0.0016844469399213925,0.0022459292532285235,0.0011229646266142617,0.0011229646266142617,0.0008422234699606962,0.0022459292532285235,0.0018248175182481751,0.0011229646266142617,0.0012633352049410444,0.0016844469399213925","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
89,89,"0.0016844469399213925,0.002807411566535654,0.0005614823133071309,0.0008422234699606962,0.0011229646266142617,0.0011229646266142617,0.0008422234699606962,0.004491858506457047,0.0016844469399213925,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
91,91,"0.0022459292532285235,0.0016844469399213925,0.0016844469399213925,0.0016844469399213925,0.0016844469399213925,0.0,0.0022459292532285235,0.0,0.0008422234699606962,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
93,93,"0.0011229646266142617,0.0005614823133071309,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0022459292532285235,0.001403705783267827,0.0005614823133071309,0.005334081976417743,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
95,95,"0.0016844469399213925,0.0016844469399213925,0.0016844469399213925,0.00014037057832678272,0.003368893879842785,0.0,0.0005614823133071309,0.0,0.0009825940482874789,0.003368893879842785","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
97,97,"0.0022459292532285235,0.0016844469399213925,0.0011229646266142617,0.002807411566535654,0.0008422234699606962,0.004491858506457047,0.0,0.0,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
99,99,"0.0005614823133071309,0.002807411566535654,0.0011229646266142617,0.0005614823133071309,0.0,0.0008422234699606962,0.0016844469399213925,0.0,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
