,Boost class num,boost test err,boost train err
73,73,"0.0011229646266142617,0.0019651880965749578,0.0018248175182481751,0.0008422234699606962,0.0008422234699606962,0.0005614823133071309,0.0,0.0039303761931499155,0.0009825940482874789,0.0030881527231892197","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0"
79,79,"0.0008422234699606962,0.0030881527231892197,0.0009825940482874789,0.0016844469399213925,0.0016844469399213925,0.0022459292532285235,0.0016844469399213925,0.0016844469399213925,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
85,85,"0.0016844469399213925,0.0022459292532285235,0.0008422234699606962,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617,0.0009825940482874789,0.0022459292532285235,0.0016844469399213925,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0"
91,91,"0.0005614823133071309,0.0011229646266142617,0.0,0.0005614823133071309,0.0011229646266142617,0.0016844469399213925,0.003368893879842785,0.0030881527231892197,0.0016844469399213925,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
97,97,"0.0022459292532285235,0.0011229646266142617,0.0004211117349803481,0.0011229646266142617,0.0,0.003368893879842785,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
103,103,"0.001403705783267827,0.0005614823133071309,0.0,0.0005614823133071309,0.0,0.0008422234699606962,0.004772599663110612,0.004491858506457047,0.0022459292532285235,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
109,109,"0.0,0.002807411566535654,0.0016844469399213925,0.0012633352049410444,0.0005614823133071309,0.0,0.0011229646266142617,0.0,0.0022459292532285235,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
115,115,"0.003368893879842785,0.0,0.0016844469399213925,0.0,0.0011229646266142617,0.0011229646266142617,0.004772599663110612,0.0022459292532285235,0.0,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
121,121,"0.0015440763615946099,0.0011229646266142617,0.003368893879842785,0.0011229646266142617,0.0022459292532285235,0.0016844469399213925,0.0022459292532285235,0.0026670409882088714,0.0008422234699606962,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
127,127,"0.0,0.0016844469399213925,0.0,0.0011229646266142617,0.0004211117349803481,0.0005614823133071309,0.002807411566535654,0.0011229646266142617,0.0005614823133071309,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
133,133,"0.003368893879842785,0.0011229646266142617,0.0016844469399213925,0.002807411566535654,0.0005614823133071309,0.0,0.0016844469399213925,0.0035092644581695676,0.0004211117349803481,0.00673778775968557","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
139,139,"0.0016844469399213925,0.0,0.00028074115665356543,0.0008422234699606962,0.0011229646266142617,0.0016844469399213925,0.0011229646266142617,0.004491858506457047,0.0005614823133071309,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
145,145,"0.0011229646266142617,0.0022459292532285235,0.0011229646266142617,0.002807411566535654,0.0,0.0,0.0011229646266142617,0.0,0.0022459292532285235,0.003368893879842785","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
151,151,"0.005614823133071308,0.0,0.0016844469399213925,0.0011229646266142617,0.0022459292532285235,0.0,0.0016844469399213925,0.003368893879842785,0.0016844469399213925,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
157,157,"0.0022459292532285235,0.0005614823133071309,0.0011229646266142617,0.0005614823133071309,0.00014037057832678272,0.0,0.0,0.003368893879842785,0.0,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
163,163,"0.0022459292532285235,0.0022459292532285235,0.0,0.003368893879842785,0.0016844469399213925,0.0016844469399213925,0.0,0.001403705783267827,0.0011229646266142617,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
169,169,"0.0011229646266142617,0.0008422234699606962,0.0,0.0011229646266142617,0.0011229646266142617,0.003368893879842785,0.0,0.005334081976417743,0.0016844469399213925,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
175,175,"0.0005614823133071309,0.0,0.0022459292532285235,0.0022459292532285235,0.0,0.0022459292532285235,0.003368893879842785,0.0004211117349803481,0.0004211117349803481,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
181,181,"0.0,0.003368893879842785,0.0,0.0,0.0,0.00014037057832678272,0.0,0.0,0.0,0.0008422234699606962","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
187,187,"0.0005614823133071309,0.0022459292532285235,0.0022459292532285235,0.0,0.0,0.0,0.0011229646266142617,0.0007018528916339135,0.0005614823133071309,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
193,193,"0.0016844469399213925,0.0,0.0008422234699606962,0.0016844469399213925,0.0004211117349803481,0.0,0.0011229646266142617,0.0022459292532285235,0.0016844469399213925,0.003368893879842785","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
199,199,"0.0022459292532285235,0.0,0.0005614823133071309,0.0016844469399213925,0.0,0.0,0.0,0.0016844469399213925,0.0016844469399213925,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
205,205,"0.0,0.0,0.0011229646266142617,0.0030881527231892197,0.0011229646266142617,0.0,0.0,0.0022459292532285235,0.0,0.0016844469399213925","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
211,211,"0.0,0.0008422234699606962,0.0,0.0012633352049410444,0.00673778775968557,0.0,0.0,0.0,0.0005614823133071309,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
217,217,"0.0,0.00673778775968557,0.0016844469399213925,0.0016844469399213925,0.0022459292532285235,0.0022459292532285235,0.0005614823133071309,0.0022459292532285235,0.0011229646266142617,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
223,223,"0.0005614823133071309,0.0022459292532285235,0.0011229646266142617,0.0022459292532285235,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0008422234699606962,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
229,229,"0.003368893879842785,0.0,0.002807411566535654,0.0005614823133071309,0.00673778775968557,0.0022459292532285235,0.0016844469399213925,0.0,0.0007018528916339135,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
235,235,"0.0,0.0,0.0008422234699606962,0.0,0.003368893879842785,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0,0.00014037057832678272","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
241,241,"0.0004211117349803481,0.0,0.0005614823133071309,0.0,0.0,0.0008422234699606962,0.0011229646266142617,0.0005614823133071309,0.0,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
247,247,"0.0,0.0,0.0011229646266142617,0.0022459292532285235,0.0016844469399213925,0.0011229646266142617,0.0016844469399213925,0.0,0.0022459292532285235,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
253,253,"0.0011229646266142617,0.003368893879842785,0.0,0.0005614823133071309,0.0011229646266142617,0.0016844469399213925,0.0011229646266142617,0.0022459292532285235,0.0008422234699606962,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
259,259,"0.0022459292532285235,0.0,0.0011229646266142617,0.0030881527231892197,0.0022459292532285235,0.008141493542953397,0.0012633352049410444,0.0,0.0011229646266142617,0.0004211117349803481","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
265,265,"0.0011229646266142617,0.0,0.0,0.0011229646266142617,0.003368893879842785,0.0011229646266142617,0.00028074115665356543,0.003368893879842785,0.0022459292532285235,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
271,271,"0.0005614823133071309,0.0005614823133071309,0.0011229646266142617,0.0005614823133071309,0.0011229646266142617,0.0,0.0008422234699606962,0.0005614823133071309,0.0011229646266142617,0.0005614823133071309","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
277,277,"0.0005614823133071309,0.0,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0,0.0022459292532285235,0.0022459292532285235,0.0011229646266142617,0.003368893879842785","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
283,283,"0.0,0.0,0.0022459292532285235,0.0011229646266142617,0.003368893879842785,0.0008422234699606962,0.0,0.0009825940482874789,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
289,289,"0.0008422234699606962,0.0011229646266142617,0.0,0.0011229646266142617,0.0016844469399213925,0.0022459292532285235,0.003368893879842785,0.0016844469399213925,0.0008422234699606962,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
295,295,"0.0,0.0,0.0,0.003368893879842785,0.0022459292532285235,0.0022459292532285235,0.0005614823133071309,0.0,0.0,0.003368893879842785","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
