,Boost class num,boost test err,boost train err
1,1,"0.11159460976979226,0.11482313307130826,0.11215609208309939,0.11398090960134756,0.11229646266142616,0.11299831555306007,0.11215609208309939,0.11426165075800113,0.11229646266142616,0.1135597978663672","0.125,0.102,0.121,0.108,0.12,0.115,0.121,0.106,0.12,0.111"
7,7,"0.023161145423919147,0.059376754632229085,0.023161145423919147,0.02330151600224593,0.02653003930376193,0.05137563166760247,0.02288040426726558,0.0495508141493543,0.07032565974171813,0.02386299831555306","0.019,0.057,0.019,0.018,0.027,0.054,0.021,0.055,0.075,0.014"
13,13,"0.02582818641212802,0.026670409882088714,0.03158338012352611,0.022740033688938798,0.01712521055586749,0.019932622122403144,0.02582818641212802,0.018809657495788883,0.041128579449747335,0.03186412128017967","0.024,0.018,0.015,0.022,0.014,0.018,0.024,0.026,0.035,0.029"
19,19,"0.021617069062324537,0.019511510387422795,0.0018248175182481751,0.02498596294216732,0.006176305446378439,0.022599663110612015,0.007860752386299831,0.010948905109489052,0.011510387422796182,0.020774845592363842","0.014,0.021,0.003,0.03,0.004,0.023,0.008,0.01,0.006,0.012"
25,25,"0.00828186412128018,0.021617069062324537,0.02021336327905671,0.006316676024705222,0.007720381807973049,0.0021055586749017404,0.010668163952835485,0.007018528916339135,0.0021055586749017404,0.0021055586749017404","0.005,0.018,0.016,0.003,0.001,0.001,0.012,0.002,0.001,0.001"
31,31,"0.0021055586749017404,0.0021055586749017404,0.0015440763615946099,0.006035934868051656,0.003790005614823133,0.004772599663110612,0.005895564289724873,0.0018248175182481751,0.0022459292532285235,0.013615946097697923","0.001,0.001,0.005,0.002,0.005,0.006,0.006,0.003,0.0,0.007"
37,37,"0.0021055586749017404,0.003368893879842785,0.0019651880965749578,0.0021055586749017404,0.0021055586749017404,0.0036496350364963502,0.006316676024705222,0.005334081976417743,0.0050533408197641775,0.004211117349803481","0.001,0.0,0.002,0.001,0.001,0.006,0.003,0.002,0.004,0.002"
43,43,"0.006597417181358787,0.004070746771476699,0.0021055586749017404,0.0011229646266142617,0.002807411566535654,0.003368893879842785,0.0015440763615946099,0.008001122964626614,0.0022459292532285235,0.008001122964626614","0.001,0.003,0.001,0.0,0.0,0.0,0.001,0.003,0.0,0.007"
49,49,"0.0021055586749017404,0.004491858506457047,0.0016844469399213925,0.0011229646266142617,0.0021055586749017404,0.0011229646266142617,0.006176305446378439,0.0021055586749017404,0.0022459292532285235,0.0011229646266142617","0.001,0.0,0.0,0.0,0.001,0.0,0.002,0.001,0.0,0.0"
55,55,"0.004491858506457047,0.0009825940482874789,0.0011229646266142617,0.003368893879842785,0.0009825940482874789,0.0011229646266142617,0.0,0.0021055586749017404,0.0021055586749017404,0.0021055586749017404","0.0,0.001,0.0,0.0,0.001,0.002,0.0,0.001,0.001,0.001"
61,61,"0.0005614823133071309,0.0015440763615946099,0.0011229646266142617,0.0039303761931499155,0.0021055586749017404,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617,0.006457046603032005","0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
67,67,"0.0,0.0022459292532285235,0.0021055586749017404,0.0016844469399213925,0.0,0.0008422234699606962,0.0,0.0029477821448624366,0.003368893879842785,0.0019651880965749578","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0"
