,Boost class num,boost test err,boost train err
67,67,"0.0,0.0011229646266142617,0.004772599663110612,0.004491858506457047,0.0009825940482874789,0.0,0.0016844469399213925,0.0022459292532285235,0.005334081976417743,0.002386299831555306","0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001"
70,70,"0.001403705783267827,0.0039303761931499155,0.0022459292532285235,0.0011229646266142617,0.0009825940482874789,0.0018248175182481751,0.0009825940482874789,0.0016844469399213925,0.0022459292532285235,0.005895564289724873","0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0"
73,73,"0.0018248175182481751,0.0016844469399213925,0.0011229646266142617,0.0005614823133071309,0.0016844469399213925,0.0016844469399213925,0.0009825940482874789,0.0029477821448624366,0.0009825940482874789,0.005755193711398091","0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0"
76,76,"0.0005614823133071309,0.0,0.0021055586749017404,0.005614823133071308,0.0021055586749017404,0.0016844469399213925,0.0011229646266142617,0.0022459292532285235,0.0005614823133071309,0.0011229646266142617","0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0"
79,79,"0.0005614823133071309,0.0016844469399213925,0.0018248175182481751,0.0005614823133071309,0.0005614823133071309,0.0011229646266142617,0.0011229646266142617,0.0022459292532285235,0.0,0.0009825940482874789","0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001"
82,82,"0.0016844469399213925,0.0011229646266142617,0.0018248175182481751,0.0019651880965749578,0.0022459292532285235,0.0016844469399213925,0.004491858506457047,0.0011229646266142617,0.0,0.0009825940482874789","0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001"
85,85,"0.0039303761931499155,0.002807411566535654,0.0007018528916339135,0.0026670409882088714,0.002807411566535654,0.0,0.0,0.0005614823133071309,0.0022459292532285235,0.0025266704098820887","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
88,88,"0.0,0.0030881527231892197,0.0011229646266142617,0.0008422234699606962,0.0011229646266142617,0.0,0.003368893879842785,0.0022459292532285235,0.0011229646266142617,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
91,91,"0.0005614823133071309,0.0005614823133071309,0.0,0.0015440763615946099,0.0016844469399213925,0.0,0.0016844469399213925,0.0011229646266142617,0.0019651880965749578,0.0008422234699606962","0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0"
94,94,"0.0022459292532285235,0.0022459292532285235,0.002807411566535654,0.002807411566535654,0.0012633352049410444,0.0039303761931499155,0.0016844469399213925,0.0011229646266142617,0.003368893879842785,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
97,97,"0.0009825940482874789,0.0022459292532285235,0.0022459292532285235,0.0011229646266142617,0.0008422234699606962,0.0012633352049410444,0.003368893879842785,0.0022459292532285235,0.0011229646266142617,0.0030881527231892197","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
100,100,"0.0019651880965749578,0.0022459292532285235,0.0022459292532285235,0.0016844469399213925,0.0005614823133071309,0.0005614823133071309,0.003368893879842785,0.0011229646266142617,0.0019651880965749578,0.0022459292532285235","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
