,Boost class num,boost test err,boost train err
1,1,"0.051181102362204724,0.031496062992125984,0.03543307086614173,0.031496062992125984,0.047244094488188976,0.03543307086614173,0.03543307086614173,0.03937007874015748,0.03543307086614173,0.05511811023622047","0.06111111111111111,0.06111111111111111,0.05555555555555555,0.06111111111111111,0.03888888888888889,0.05555555555555555,0.05555555555555555,0.07777777777777778,0.05555555555555555,0.05555555555555555"
3,3,"0.047244094488188976,0.06692913385826772,0.05905511811023622,0.047244094488188976,0.047244094488188976,0.07086614173228346,0.04330708661417323,0.051181102362204724,0.047244094488188976,0.03937007874015748","0.03888888888888889,0.03888888888888889,0.05,0.03888888888888889,0.03888888888888889,0.03333333333333333,0.044444444444444446,0.03333333333333333,0.03888888888888889,0.05"
5,5,"0.05511811023622047,0.06692913385826772,0.05511811023622047,0.05511811023622047,0.03937007874015748,0.051181102362204724,0.08267716535433071,0.03543307086614173,0.03937007874015748,0.047244094488188976","0.06111111111111111,0.016666666666666666,0.027777777777777776,0.03333333333333333,0.05555555555555555,0.027777777777777776,0.03333333333333333,0.044444444444444446,0.05555555555555555,0.03333333333333333"
7,7,"0.051181102362204724,0.04330708661417323,0.051181102362204724,0.031496062992125984,0.031496062992125984,0.07480314960629922,0.051181102362204724,0.04330708661417323,0.03543307086614173,0.05905511811023622","0.03333333333333333,0.027777777777777776,0.011111111111111112,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.005555555555555556,0.022222222222222223,0.016666666666666666,0.016666666666666666"
9,9,"0.047244094488188976,0.03937007874015748,0.04330708661417323,0.05511811023622047,0.047244094488188976,0.03543307086614173,0.027559055118110236,0.05905511811023622,0.04330708661417323,0.04330708661417323","0.03333333333333333,0.022222222222222223,0.027777777777777776,0.005555555555555556,0.03333333333333333,0.016666666666666666,0.03888888888888889,0.0,0.011111111111111112,0.03333333333333333"
11,11,"0.04330708661417323,0.05905511811023622,0.051181102362204724,0.051181102362204724,0.03937007874015748,0.05905511811023622,0.03543307086614173,0.051181102362204724,0.051181102362204724,0.047244094488188976","0.027777777777777776,0.0,0.011111111111111112,0.027777777777777776,0.016666666666666666,0.011111111111111112,0.022222222222222223,0.022222222222222223,0.016666666666666666,0.027777777777777776"
13,13,"0.047244094488188976,0.027559055118110236,0.05511811023622047,0.05511811023622047,0.023622047244094488,0.031496062992125984,0.03937007874015748,0.051181102362204724,0.04330708661417323,0.03937007874015748","0.016666666666666666,0.05,0.011111111111111112,0.016666666666666666,0.03888888888888889,0.03333333333333333,0.016666666666666666,0.005555555555555556,0.016666666666666666,0.022222222222222223"
15,15,"0.027559055118110236,0.03937007874015748,0.05511811023622047,0.03937007874015748,0.05905511811023622,0.051181102362204724,0.03543307086614173,0.04330708661417323,0.051181102362204724,0.05511811023622047","0.022222222222222223,0.016666666666666666,0.005555555555555556,0.016666666666666666,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.011111111111111112,0.027777777777777776"
17,17,"0.03543307086614173,0.04330708661417323,0.047244094488188976,0.03937007874015748,0.03543307086614173,0.047244094488188976,0.04330708661417323,0.04330708661417323,0.05511811023622047,0.06692913385826772","0.027777777777777776,0.016666666666666666,0.011111111111111112,0.011111111111111112,0.044444444444444446,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.005555555555555556,0.016666666666666666"
19,19,"0.031496062992125984,0.03543307086614173,0.04330708661417323,0.04330708661417323,0.04330708661417323,0.051181102362204724,0.051181102362204724,0.03937007874015748,0.04330708661417323,0.04330708661417323","0.03333333333333333,0.027777777777777776,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.016666666666666666,0.027777777777777776,0.011111111111111112,0.005555555555555556"
