,Boost class num,boost test err,boost train err
21,21,"0.03937007874015748,0.031496062992125984,0.03937007874015748,0.04330708661417323,0.051181102362204724,0.051181102362204724,0.047244094488188976,0.05511811023622047,0.03937007874015748,0.047244094488188976","0.016666666666666666,0.022222222222222223,0.027777777777777776,0.011111111111111112,0.011111111111111112,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.011111111111111112"
23,23,"0.04330708661417323,0.031496062992125984,0.047244094488188976,0.051181102362204724,0.03543307086614173,0.04330708661417323,0.03937007874015748,0.03543307086614173,0.05511811023622047,0.031496062992125984","0.027777777777777776,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.027777777777777776,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.0,0.011111111111111112"
25,25,"0.03543307086614173,0.027559055118110236,0.051181102362204724,0.031496062992125984,0.051181102362204724,0.07874015748031496,0.05905511811023622,0.051181102362204724,0.047244094488188976,0.027559055118110236","0.03333333333333333,0.005555555555555556,0.011111111111111112,0.022222222222222223,0.027777777777777776,0.0,0.005555555555555556,0.011111111111111112,0.016666666666666666,0.022222222222222223"
27,27,"0.04330708661417323,0.03937007874015748,0.03543307086614173,0.03937007874015748,0.051181102362204724,0.06692913385826772,0.06692913385826772,0.031496062992125984,0.03937007874015748,0.03543307086614173","0.016666666666666666,0.005555555555555556,0.027777777777777776,0.022222222222222223,0.005555555555555556,0.011111111111111112,0.0,0.016666666666666666,0.016666666666666666,0.005555555555555556"
29,29,"0.047244094488188976,0.031496062992125984,0.05905511811023622,0.05511811023622047,0.04330708661417323,0.051181102362204724,0.05511811023622047,0.04330708661417323,0.051181102362204724,0.03937007874015748","0.0,0.016666666666666666,0.0,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.011111111111111112,0.011111111111111112,0.005555555555555556"
31,31,"0.05511811023622047,0.027559055118110236,0.03543307086614173,0.03937007874015748,0.047244094488188976,0.05511811023622047,0.05511811023622047,0.047244094488188976,0.031496062992125984,0.047244094488188976","0.016666666666666666,0.027777777777777776,0.022222222222222223,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.0,0.022222222222222223,0.022222222222222223,0.005555555555555556"
33,33,"0.05511811023622047,0.03543307086614173,0.03937007874015748,0.03937007874015748,0.04330708661417323,0.027559055118110236,0.03937007874015748,0.04330708661417323,0.03543307086614173,0.04330708661417323","0.0,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.027777777777777776,0.005555555555555556,0.016666666666666666,0.027777777777777776,0.0"
35,35,"0.047244094488188976,0.047244094488188976,0.031496062992125984,0.04330708661417323,0.06692913385826772,0.03937007874015748,0.03543307086614173,0.03937007874015748,0.04330708661417323,0.03937007874015748","0.011111111111111112,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.0,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.005555555555555556,0.005555555555555556"
37,37,"0.04330708661417323,0.06299212598425197,0.03937007874015748,0.031496062992125984,0.05905511811023622,0.027559055118110236,0.04330708661417323,0.07086614173228346,0.04330708661417323,0.04330708661417323","0.011111111111111112,0.0,0.016666666666666666,0.011111111111111112,0.016666666666666666,0.016666666666666666,0.005555555555555556,0.0,0.005555555555555556,0.011111111111111112"
39,39,"0.047244094488188976,0.031496062992125984,0.047244094488188976,0.051181102362204724,0.06299212598425197,0.027559055118110236,0.051181102362204724,0.047244094488188976,0.04330708661417323,0.031496062992125984","0.011111111111111112,0.005555555555555556,0.011111111111111112,0.0,0.0,0.016666666666666666,0.005555555555555556,0.005555555555555556,0.0,0.011111111111111112"
41,41,"0.047244094488188976,0.05511811023622047,0.03937007874015748,0.047244094488188976,0.03543307086614173,0.047244094488188976,0.03543307086614173,0.03937007874015748,0.051181102362204724,0.03543307086614173","0.016666666666666666,0.0,0.0,0.0,0.005555555555555556,0.011111111111111112,0.016666666666666666,0.005555555555555556,0.005555555555555556,0.005555555555555556"
43,43,"0.047244094488188976,0.05905511811023622,0.03937007874015748,0.051181102362204724,0.047244094488188976,0.051181102362204724,0.04330708661417323,0.047244094488188976,0.031496062992125984,0.051181102362204724","0.0,0.0,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.0,0.0,0.0,0.03888888888888889,0.0"
45,45,"0.08267716535433071,0.06299212598425197,0.04330708661417323,0.051181102362204724,0.047244094488188976,0.05511811023622047,0.04330708661417323,0.03543307086614173,0.04330708661417323,0.047244094488188976","0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.016666666666666666,0.022222222222222223,0.0,0.022222222222222223"
47,47,"0.051181102362204724,0.05511811023622047,0.03543307086614173,0.04330708661417323,0.047244094488188976,0.047244094488188976,0.051181102362204724,0.04330708661417323,0.047244094488188976,0.03937007874015748","0.0,0.0,0.016666666666666666,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556"
49,49,"0.06692913385826772,0.04330708661417323,0.03543307086614173,0.051181102362204724,0.04330708661417323,0.05905511811023622,0.051181102362204724,0.03937007874015748,0.031496062992125984,0.04330708661417323","0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.005555555555555556,0.011111111111111112,0.0"
51,51,"0.06299212598425197,0.05511811023622047,0.04330708661417323,0.047244094488188976,0.05511811023622047,0.04330708661417323,0.047244094488188976,0.03937007874015748,0.04330708661417323,0.04330708661417323","0.0,0.016666666666666666,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556"
53,53,"0.06299212598425197,0.03937007874015748,0.047244094488188976,0.051181102362204724,0.023622047244094488,0.05511811023622047,0.05905511811023622,0.04330708661417323,0.05511811023622047,0.051181102362204724","0.0,0.0,0.027777777777777776,0.005555555555555556,0.016666666666666666,0.0,0.0,0.0,0.0,0.0"
55,55,"0.047244094488188976,0.03937007874015748,0.027559055118110236,0.051181102362204724,0.04330708661417323,0.03543307086614173,0.03937007874015748,0.051181102362204724,0.05511811023622047,0.04330708661417323","0.0,0.0,0.005555555555555556,0.005555555555555556,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.0,0.005555555555555556,0.005555555555555556"
57,57,"0.031496062992125984,0.06299212598425197,0.05905511811023622,0.051181102362204724,0.047244094488188976,0.031496062992125984,0.051181102362204724,0.04330708661417323,0.03937007874015748,0.047244094488188976","0.005555555555555556,0.0,0.0,0.016666666666666666,0.005555555555555556,0.016666666666666666,0.0,0.0,0.0,0.0"
59,59,"0.04330708661417323,0.01968503937007874,0.03937007874015748,0.047244094488188976,0.03543307086614173,0.04330708661417323,0.047244094488188976,0.027559055118110236,0.03937007874015748,0.047244094488188976","0.0,0.027777777777777776,0.011111111111111112,0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0"
61,61,"0.03937007874015748,0.06692913385826772,0.031496062992125984,0.051181102362204724,0.047244094488188976,0.05511811023622047,0.03543307086614173,0.047244094488188976,0.03937007874015748,0.03937007874015748","0.005555555555555556,0.0,0.027777777777777776,0.0,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.011111111111111112,0.0,0.016666666666666666"
63,63,"0.04330708661417323,0.07086614173228346,0.03543307086614173,0.03937007874015748,0.04330708661417323,0.031496062992125984,0.031496062992125984,0.03543307086614173,0.047244094488188976,0.047244094488188976","0.0,0.0,0.027777777777777776,0.005555555555555556,0.0,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.005555555555555556"
65,65,"0.04330708661417323,0.07086614173228346,0.031496062992125984,0.051181102362204724,0.047244094488188976,0.031496062992125984,0.07480314960629922,0.03937007874015748,0.04330708661417323,0.03543307086614173","0.005555555555555556,0.005555555555555556,0.0,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.011111111111111112"
67,67,"0.027559055118110236,0.047244094488188976,0.03937007874015748,0.03543307086614173,0.031496062992125984,0.05511811023622047,0.051181102362204724,0.04330708661417323,0.027559055118110236,0.031496062992125984","0.011111111111111112,0.0,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556,0.011111111111111112,0.016666666666666666"
69,69,"0.03937007874015748,0.023622047244094488,0.051181102362204724,0.031496062992125984,0.051181102362204724,0.051181102362204724,0.05511811023622047,0.06299212598425197,0.04330708661417323,0.051181102362204724","0.005555555555555556,0.011111111111111112,0.0,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556"
71,71,"0.05511811023622047,0.03543307086614173,0.03543307086614173,0.051181102362204724,0.03937007874015748,0.04330708661417323,0.047244094488188976,0.04330708661417323,0.04330708661417323,0.05905511811023622","0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.005555555555555556"
73,73,"0.023622047244094488,0.05511811023622047,0.03543307086614173,0.03543307086614173,0.03937007874015748,0.047244094488188976,0.051181102362204724,0.027559055118110236,0.03937007874015748,0.051181102362204724","0.011111111111111112,0.0,0.0,0.005555555555555556,0.011111111111111112,0.0,0.0,0.016666666666666666,0.005555555555555556,0.0"
75,75,"0.03543307086614173,0.01968503937007874,0.04330708661417323,0.03937007874015748,0.031496062992125984,0.03543307086614173,0.047244094488188976,0.047244094488188976,0.05511811023622047,0.03543307086614173","0.005555555555555556,0.022222222222222223,0.016666666666666666,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556"
77,77,"0.047244094488188976,0.051181102362204724,0.027559055118110236,0.06692913385826772,0.051181102362204724,0.06692913385826772,0.03937007874015748,0.047244094488188976,0.03543307086614173,0.051181102362204724","0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556"
79,79,"0.05511811023622047,0.07086614173228346,0.03543307086614173,0.03543307086614173,0.051181102362204724,0.051181102362204724,0.03937007874015748,0.06299212598425197,0.06299212598425197,0.03543307086614173","0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556"
81,81,"0.05905511811023622,0.051181102362204724,0.03543307086614173,0.03937007874015748,0.04330708661417323,0.047244094488188976,0.07086614173228346,0.051181102362204724,0.03543307086614173,0.03937007874015748","0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556"
83,83,"0.05511811023622047,0.04330708661417323,0.027559055118110236,0.04330708661417323,0.04330708661417323,0.04330708661417323,0.03937007874015748,0.03937007874015748,0.06692913385826772,0.04330708661417323","0.0,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.011111111111111112"
85,85,"0.04330708661417323,0.03543307086614173,0.03937007874015748,0.03937007874015748,0.031496062992125984,0.047244094488188976,0.03543307086614173,0.06299212598425197,0.031496062992125984,0.051181102362204724","0.011111111111111112,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0"
87,87,"0.031496062992125984,0.06692913385826772,0.03937007874015748,0.03543307086614173,0.03937007874015748,0.05511811023622047,0.031496062992125984,0.05511811023622047,0.051181102362204724,0.04330708661417323","0.005555555555555556,0.0,0.016666666666666666,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0"
89,89,"0.03937007874015748,0.05905511811023622,0.03937007874015748,0.047244094488188976,0.051181102362204724,0.047244094488188976,0.047244094488188976,0.05905511811023622,0.05905511811023622,0.04330708661417323","0.005555555555555556,0.0,0.011111111111111112,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.0"
91,91,"0.04330708661417323,0.10236220472440945,0.047244094488188976,0.015748031496062992,0.05905511811023622,0.04330708661417323,0.06692913385826772,0.03543307086614173,0.04330708661417323,0.06692913385826772","0.005555555555555556,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0"
93,93,"0.06692913385826772,0.051181102362204724,0.051181102362204724,0.031496062992125984,0.031496062992125984,0.023622047244094488,0.047244094488188976,0.04330708661417323,0.051181102362204724,0.04330708661417323","0.0,0.0,0.005555555555555556,0.005555555555555556,0.016666666666666666,0.011111111111111112,0.0,0.0,0.0,0.0"
95,95,"0.031496062992125984,0.05905511811023622,0.04330708661417323,0.03937007874015748,0.047244094488188976,0.05905511811023622,0.03937007874015748,0.03937007874015748,0.03937007874015748,0.04330708661417323","0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.005555555555555556"
97,97,"0.05511811023622047,0.07086614173228346,0.06299212598425197,0.05905511811023622,0.05905511811023622,0.04330708661417323,0.051181102362204724,0.05905511811023622,0.05511811023622047,0.051181102362204724","0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556"
99,99,"0.05511811023622047,0.05905511811023622,0.047244094488188976,0.047244094488188976,0.05905511811023622,0.05511811023622047,0.05905511811023622,0.03937007874015748,0.06299212598425197,0.031496062992125984","0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.011111111111111112"
