,Boost class num,boost test err,boost train err
115,115,"0.051181102362204724,0.03543307086614173,0.04330708661417323,0.06299212598425197,0.05511811023622047,0.06299212598425197,0.047244094488188976,0.04330708661417323,0.047244094488188976,0.05511811023622047","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.005555555555555556,0.005555555555555556"
121,121,"0.023622047244094488,0.07086614173228346,0.06692913385826772,0.05511811023622047,0.03937007874015748,0.03937007874015748,0.051181102362204724,0.04330708661417323,0.03937007874015748,0.03543307086614173","0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
127,127,"0.07086614173228346,0.03937007874015748,0.051181102362204724,0.06299212598425197,0.03937007874015748,0.051181102362204724,0.04330708661417323,0.047244094488188976,0.07086614173228346,0.06299212598425197","0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0"
133,133,"0.051181102362204724,0.047244094488188976,0.06299212598425197,0.047244094488188976,0.051181102362204724,0.05511811023622047,0.06299212598425197,0.04330708661417323,0.05511811023622047,0.04330708661417323","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.011111111111111112,0.0"
139,139,"0.047244094488188976,0.04330708661417323,0.047244094488188976,0.031496062992125984,0.04330708661417323,0.047244094488188976,0.04330708661417323,0.06299212598425197,0.04330708661417323,0.03937007874015748","0.0,0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556"
145,145,"0.03543307086614173,0.05511811023622047,0.03937007874015748,0.03937007874015748,0.03543307086614173,0.05905511811023622,0.05511811023622047,0.06299212598425197,0.047244094488188976,0.047244094488188976","0.011111111111111112,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.005555555555555556,0.0"
151,151,"0.047244094488188976,0.03543307086614173,0.05905511811023622,0.05511811023622047,0.03543307086614173,0.03937007874015748,0.031496062992125984,0.05905511811023622,0.08267716535433071,0.027559055118110236","0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.0,0.0,0.0"
157,157,"0.05905511811023622,0.07480314960629922,0.03543307086614173,0.047244094488188976,0.05905511811023622,0.051181102362204724,0.031496062992125984,0.047244094488188976,0.047244094488188976,0.03937007874015748","0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0"
163,163,"0.06299212598425197,0.03543307086614173,0.07874015748031496,0.047244094488188976,0.04330708661417323,0.051181102362204724,0.07086614173228346,0.03937007874015748,0.047244094488188976,0.07086614173228346","0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556"
169,169,"0.05511811023622047,0.027559055118110236,0.05511811023622047,0.047244094488188976,0.03543307086614173,0.04330708661417323,0.04330708661417323,0.051181102362204724,0.047244094488188976,0.051181102362204724","0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
175,175,"0.047244094488188976,0.04330708661417323,0.047244094488188976,0.051181102362204724,0.05511811023622047,0.03937007874015748,0.027559055118110236,0.03937007874015748,0.03937007874015748,0.051181102362204724","0.0,0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.011111111111111112,0.005555555555555556"
181,181,"0.027559055118110236,0.047244094488188976,0.047244094488188976,0.027559055118110236,0.051181102362204724,0.047244094488188976,0.06692913385826772,0.047244094488188976,0.06299212598425197,0.047244094488188976","0.011111111111111112,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0"
187,187,"0.047244094488188976,0.05511811023622047,0.051181102362204724,0.06299212598425197,0.03937007874015748,0.05905511811023622,0.05905511811023622,0.03937007874015748,0.06692913385826772,0.03937007874015748","0.0,0.0,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.005555555555555556,0.0,0.0"
193,193,"0.05511811023622047,0.06299212598425197,0.04330708661417323,0.027559055118110236,0.03543307086614173,0.05511811023622047,0.04330708661417323,0.06299212598425197,0.04330708661417323,0.07480314960629922","0.005555555555555556,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.005555555555555556,0.0"
