,Boost class num,Tree Depth,boost test err,boost train err,tree test err,tree train err
1,1,1.0,0.113700168445,0.11,0.113700168445,0.11
2,2,2.0,0.11210930189,0.121333333333,0.105371514131,0.113333333333
3,3,3.0,0.0638686131387,0.057,0.102376941793,0.0946666666667
4,4,4.0,0.0452929066068,0.0426666666667,0.0995695302265,0.101333333333
5,5,5.0,0.0529197080292,0.051,0.03607523863,0.0256666666667
6,6,4.66666666667,0.0422047538836,0.046,0.00299457233764,0.0
7,7,5.0,0.0565225528729,0.052,0.00276062137376,0.0
8,8,5.66666666667,0.0452929066068,0.0453333333333,0.00271383118098,0.0
9,9,5.0,0.0307411566536,0.025,0.00346247426539,0.0
10,10,5.33333333333,0.045246116414,0.0443333333333,0.00495976043421,0.0
11,11,5.0,0.0249859629422,0.0246666666667,0.00355605465095,0.0
12,12,5.33333333333,0.0344843720756,0.025,0.00393037619315,0.0
13,13,5.0,0.0357477072806,0.0346666666667,0.00299457233764,0.0
14,14,5.66666666667,0.0290567097136,0.0303333333333,0.00182481751825,0.0
15,15,4.66666666667,0.0284952274003,0.029,0.00131012539772,0.0
16,16,5.0,0.0421579636908,0.0396666666667,0.00280741156654,0.0
17,17,5.0,0.0295714018342,0.0266666666667,0.00481938985589,0.0
18,18,6.0,0.0350458543889,0.0316666666667,0.00271383118098,0.0
19,19,5.0,0.025219913906,0.0243333333333,0.00304136253041,0.0
20,20,4.0,0.0335017780273,0.0266666666667,0.00257346060266,0.0
21,21,5.0,0.0286823881714,0.0276666666667,0.00247988021711,0.0
22,22,5.33333333333,0.0322852330152,0.0286666666667,0.00159086655437,0.0
23,23,5.0,0.0371514130638,0.0273333333333,0.00262025079543,0.0
24,24,5.33333333333,0.0378064757627,0.0293333333333,0.00346247426539,0.0
25,25,4.66666666667,0.0332678270634,0.0323333333333,0.00205876848213,0.0
26,26,5.66666666667,0.0285888077859,0.0296666666667,0.00205876848213,0.0
27,27,5.66666666667,0.0474920456672,0.0443333333333,0.00168444693992,0.0
28,28,5.0,0.0459479693056,0.042,0.00374321542205,0.0
29,29,4.66666666667,0.0354669661239,0.0353333333333,0.00196518809657,0.0
30,30,5.66666666667,0.0260153471832,0.0293333333333,0.00262025079543,0.0
31,31,5.33333333333,0.0299925135692,0.025,0.00308815272319,0.0
32,32,5.0,0.0415496911847,0.04,0.00318173310874,0.0
33,33,5.0,0.040239565787,0.032,0.0038367958076,0.0
34,34,5.66666666667,0.0281676960509,0.0233333333333,0.00252667040988,0.0
35,35,5.33333333333,0.0277465843159,0.0263333333333,0.00262025079543,0.0
36,36,5.33333333333,0.0159554557365,0.0143333333333,0.00257346060266,0.0
37,37,4.33333333333,0.0385083286543,0.035,0.00346247426539,0.0
38,38,5.33333333333,0.0311622683885,0.0233333333333,0.00149728616882,0.0
39,39,5.33333333333,0.029618192027,0.0236666666667,0.00252667040988,0.0
40,40,4.33333333333,0.0364495601722,0.0336666666667,0.00243309002433,0.0
